(35817.51901620179, 51424), (34765.736333812136, 53418), (34705.65361345436, 55667), (32654.14131902341, 57223), (31962.879959026228, 61217), (35955.30904308984, 55752), (34838.67222061781, 56911), (33956.84659764613, 58787), (33639.410635592634, 58955), (33286.12957213136, 64794), (35620.913714495975, 57490), (34473.18804040172, 59360), (33759.757133290026, 59516), (33757.44487439519, 61390), (33637.22011151542, 65030), (36050.03364436288, 58376), (35724.35917182251, 59013), (35346.2467752136, 59393), (34600.59488823898, 59573), (34568.03998232687, 59607), (34379.51691623116, 60021), (34359.27905795699, 60872), (34340.09502125344, 61358), (33998.270551737616, 61705), (35901.84256733302, 59460), (34359.15616561395, 62328), (35289.2775354399, 60081), (34612.15950455017, 61447), (34755.53936129829, 60406), (34506.62194832475, 62148), (33558.38179116983, 60785)
(35081.37384579597, 50759), (34765.736333812136, 53418), (33983.51284691995, 55567), (32654.14131902341, 57223), (31962.879959026228, 61217), (35817.51901620179, 51424), (35338.36310411514, 54710), (34865.11707310199, 54829), (34705.65361345436, 55667), (34526.12860213269, 58093), (33956.84659764613, 58787), (33639.410635592634, 58955), (32849.490384068966, 59512), (32605.007546951983, 61543), (36083.941129734725, 52716), (36046.88910415356, 53949), (35955.30904308984, 55752), (34838.67222061781, 56911), (34033.405191782105, 58885), (33759.757133290026, 59516), (33558.38179116983, 60785), (33102.82325544023, 63716), (32762.710344073843, 65153), (35517.43531783722, 57290), (33218.415730051456, 63828), (33613.84792710094, 61930), (35306.92711493739, 58674), (34966.59506912171, 59089), (34473.18804040172, 59360), (34089.710570791496, 61034), (33689.8633908545, 60605)
(35081.37384579597, 50759), (34765.736333812136, 53418), (32481.543378327635, 54241), (31962.879959026228, 61217), (35817.51901620179, 51424), (35338.36310411514, 54710), (34865.11707310199, 54829), (33983.51284691995, 55567), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (34705.65361345436, 55667), (34269.87146436159, 56710), (34064.72422416006, 58637), (33956.84659764613, 58787), (33639.410635592634, 58955), (32849.490384068966, 59512), (32605.007546951983, 61543), (35955.30904308984, 55752), (35901.74200022953, 56628), (34838.67222061781, 56911), (34526.12860213269, 58093), (34524.93980660704, 58161), (34033.405191782105, 58885), (33759.757133290026, 59516), (33689.8633908545, 60605), (33299.97156468248, 60661), (33102.82325544023, 63716), (32762.710344073843, 65153), (34139.3757241683, 62671)
(35081.37384579597, 50759), (34765.736333812136, 53418), (32481.543378327635, 54241), (31962.879959026228, 61217), (35817.51901620179, 51424), (35338.36310411514, 54710), (34865.11707310199, 54829), (33983.51284691995, 55567), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (34705.65361345436, 55667), (34269.87146436159, 56710), (33410.304919183545, 57496), (32849.490384068966, 59512), (32605.007546951983, 61543), (35160.991034672035, 55708), (34838.67222061781, 56911), (34575.581550669944, 57305), (34526.12860213269, 58093), (34524.93980660704, 58161), (33837.11090294735, 58262), (33639.410635592634, 58955), (33299.97156468248, 60661), (33102.82325544023, 63716), (32762.710344073843, 65153), (35955.30904308984, 55752), (33590.1704804895, 66324), (35296.76771698849, 63926)
(35081.37384579597, 50759), (34765.736333812136, 53418), (32481.543378327635, 54241), (31962.879959026228, 61217), (35817.51901620179, 51424), (35338.36310411514, 54710), (34865.11707310199, 54829), (33983.51284691995, 55567), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (34705.65361345436, 55667), (34269.87146436159, 56710), (33410.304919183545, 57496), (32849.490384068966, 59512), (32605.007546951983, 61543), (36263.99254298165, 55409), (35160.991034672035, 55708), (34832.49557983055, 56401), (34575.581550669944, 57305), (33539.826076994956, 57982), (33396.800586652374, 60420), (33299.97156468248, 60661), (33121.05691657386, 61873), (33102.82325544023, 63716), (32762.710344073843, 65153), (35955.30904308984, 55752), (33245.34739351018, 62026), (35364.24883207387, 56489)
(35081.37384579597, 50759), (34765.736333812136, 53418), (33441.566434029846, 53620), (32481.543378327635, 54241), (31962.879959026228, 61217), (31809.14527547231, 65688), (35817.51901620179, 51424), (35257.23360309863, 53719), (34865.11707310199, 54829), (33983.51284691995, 55567), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (35338.36310411514, 54710), (34705.65361345436, 55667), (34269.87146436159, 56710), (33072.848757315565, 57438), (32849.490384068966, 59512), (32605.007546951983, 61543), (36263.99254298165, 55409), (32762.710344073843, 65153), (33410.304919183545, 57496), (34575.581550669944, 57305), (35160.991034672035, 55708), (33102.82325544023, 63716), (33121.05691657386, 61873), (33396.800586652374, 60420), (34832.49557983055, 56401), (34324.99360151869, 63529)
(32793.2754858573, 50225), (32481.543378327635, 54241), (31962.879959026228, 61217), (31809.14527547231, 65688), (35081.37384579597, 50759), (34765.736333812136, 53418), (33441.566434029846, 53620), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (35817.51901620179, 51424), (35257.23360309863, 53719), (33488.53398444226, 54624), (33408.856072543815, 57220), (33072.848757315565, 57438), (32849.490384068966, 59512), (32605.007546951983, 61543), (36083.941129734725, 52716), (36046.88910415356, 53949), (35338.36310411514, 54710), (34865.11707310199, 54829), (33983.51284691995, 55567), (33410.304919183545, 57496), (33396.800586652374, 60420), (33121.05691657386, 61873), (33102.82325544023, 63716), (32762.710344073843, 65153), (36263.99254298165, 55409), (33738.34525894365, 65584), (34705.65361345436, 55667), (34526.27603730958, 57993)
(32793.2754858573, 50225), (32481.543378327635, 54241), (31962.879959026228, 61217), (31809.14527547231, 65688), (35081.37384579597, 50759), (34765.736333812136, 53418), (33441.566434029846, 53620), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (35817.51901620179, 51424), (35257.23360309863, 53719), (33488.53398444226, 54624), (33408.856072543815, 57220), (33072.848757315565, 57438), (32849.490384068966, 59512), (32605.007546951983, 61543), (35896.4614932533, 52660), (35338.36310411514, 54710), (34860.03122917877, 54716), (33983.51284691995, 55567), (33410.304919183545, 57496), (33396.800586652374, 60420), (33121.05691657386, 61873), (33102.82325544023, 63716), (32949.87596483812, 64877), (32762.710344073843, 65153), (36083.941129734725, 52716), (33192.82735773097, 73184), (33208.917929558345, 64939), (37933.64791738962, 55196)
(32793.2754858573, 50225), (32481.543378327635, 54241), (31962.879959026228, 61217), (31809.14527547231, 65688), (31495.638661303914, 69813), (35081.37384579597, 50759), (33559.230570971115, 52909), (33441.566434029846, 53620), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (35817.51901620179, 51424), (34765.736333812136, 53418), (33488.53398444226, 54624), (33408.856072543815, 57220), (33072.848757315565, 57438), (32849.490384068966, 59512), (32605.007546951983, 61543), (35896.4614932533, 52660), (35257.23360309863, 53719), (34860.03122917877, 54716), (34802.25800710656, 55229), (33983.51284691995, 55567), (33410.304919183545, 57496), (33396.800586652374, 60420), (33156.82584784249, 61040), (33015.99019721807, 61320), (32949.87596483812, 64877), (32762.710344073843, 65153), (36083.941129734725, 52716), (35348.47244017005, 58003)
(32793.2754858573, 50225), (32481.543378327635, 54241), (32480.8017350083, 58401), (31962.879959026228, 61217), (31809.14527547231, 65688), (31495.638661303914, 69813), (35081.37384579597, 50759), (33559.230570971115, 52909), (33441.566434029846, 53620), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (35817.51901620179, 51424), (34765.736333812136, 53418), (33488.53398444226, 54624), (33408.856072543815, 57220), (33072.848757315565, 57438), (32849.490384068966, 59512), (32605.007546951983, 61543), (35896.4614932533, 52660), (32762.710344073843, 65153), (33410.304919183545, 57496), (33983.51284691995, 55567), (32949.87596483812, 64877), (33015.99019721807, 61320), (33396.800586652374, 60420), (35257.23360309863, 53719), (34110.09721176394, 55314), (34802.25800710656, 55229), (34860.03122917877, 54716), (34320.03332565587, 61290)
