(35817.51901620179, 51424), (34765.736333812136, 53418), (34705.65361345436, 55667), (32654.14131902341, 57223), (31962.879959026228, 61217), (35955.30904308984, 55752), (34838.67222061781, 56911), (33956.84659764613, 58787), (33639.410635592634, 58955), (33286.12957213136, 64794), (35620.913714495975, 57490), (34473.18804040172, 59360), (33759.757133290026, 59516), (33757.44487439519, 61390), (33637.22011151542, 65030), (36050.03364436288, 58376), (35724.35917182251, 59013), (35346.2467752136, 59393), (34600.59488823898, 59573), (34568.03998232687, 59607), (34379.51691623116, 60021), (34359.27905795699, 60872), (34340.09502125344, 61358), (33998.270551737616, 61705), (35901.84256733302, 59460), (35289.2775354399, 60081), (35053.45147317323, 60232), (34755.53936129829, 60406), (34612.15950455017, 61447), (34506.62194832475, 62148), (34359.15616561395, 62328), (36207.4979958955, 60077), (35585.56979573853, 60780), (35124.00779117072, 61644), (35046.13814364042, 61871), (34640.90038099358, 61924), (34392.94146878445, 63454), (35696.57033809312, 60889), (35460.50072367363, 61768), (34920.87930239394, 62113), (34656.45623782501, 63747), (34547.081471123594, 63921), (34495.6740357384, 66550), (34443.31879304947, 70944), (34399.12121698987, 72536), (36455.298918580615, 61233), (34529.34507364109, 69207), (35754.48911130411, 61288), (34686.202041267745, 65422), (35539.355705500195, 62136), (35863.42550560687, 61898)
(35817.51901620179, 51424), (34765.736333812136, 53418), (33983.51284691995, 55567), (32654.14131902341, 57223), (31962.879959026228, 61217), (36083.941129734725, 52716), (36046.88910415356, 53949), (35338.36310411514, 54710), (34865.11707310199, 54829), (34705.65361345436, 55667), (34526.12860213269, 58093), (33956.84659764613, 58787), (33639.410635592634, 58955), (32849.490384068966, 59512), (32605.007546951983, 61543), (35955.30904308984, 55752), (34838.67222061781, 56911), (34033.405191782105, 58885), (33759.757133290026, 59516), (33757.44487439519, 61390), (33613.84792710094, 61930), (33218.415730051456, 63828), (32762.710344073843, 65153), (35620.913714495975, 57490), (35306.92711493739, 58674), (34473.18804040172, 59360), (34379.51691623116, 60021), (34132.70126989246, 60177), (34089.710570791496, 61034), (33998.270551737616, 61705), (33968.97901592864, 63033), (33286.12957213136, 64794), (36050.03364436288, 58376), (35724.35917182251, 59013), (35346.2467752136, 59393), (34600.59488823898, 59573), (34568.03998232687, 59607), (34531.14051212266, 60582), (34359.27905795699, 60872), (34340.09502125344, 61358), (34258.61761010612, 62686), (34045.483903246786, 63309), (33637.22011151542, 65030), (33533.73206584778, 67182), (35901.84256733302, 59460), (33549.03355347453, 67931), (33859.439339029035, 66094), (34359.15616561395, 62328), (35289.2775354399, 60081), (34443.32158714482, 60891), (35174.10689538088, 58588)
(35081.37384579597, 50759), (34765.736333812136, 53418), (32481.543378327635, 54241), (31962.879959026228, 61217), (35817.51901620179, 51424), (35338.36310411514, 54710), (34865.11707310199, 54829), (33983.51284691995, 55567), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (34705.65361345436, 55667), (34269.87146436159, 56710), (33956.84659764613, 58787), (33639.410635592634, 58955), (32849.490384068966, 59512), (32605.007546951983, 61543), (35955.30904308984, 55752), (34838.67222061781, 56911), (34526.12860213269, 58093), (34033.405191782105, 58885), (33759.757133290026, 59516), (33757.44487439519, 61390), (33613.84792710094, 61930), (33102.82325544023, 63716), (32762.710344073843, 65153), (35517.43531783722, 57290), (35174.10689538088, 58588), (34966.59506912171, 59089), (34473.18804040172, 59360), (34379.51691623116, 60021), (34132.70126989246, 60177), (34089.710570791496, 61034), (33759.0661311074, 61631), (33218.415730051456, 63828), (35620.913714495975, 57490), (35306.92711493739, 58674), (34600.59488823898, 59573), (34568.03998232687, 59607), (34531.14051212266, 60582), (34359.27905795699, 60872), (34340.09502125344, 61358), (33998.270551737616, 61705), (33968.97901592864, 63033), (33874.94940201649, 64143), (33286.12957213136, 64794), (36880.63849868662, 57548), (33322.99146866795, 69818), (33380.88859044442, 66598), (34432.84114095057, 65214)
(35081.37384579597, 50759), (34765.736333812136, 53418), (32481.543378327635, 54241), (31962.879959026228, 61217), (35817.51901620179, 51424), (35338.36310411514, 54710), (34865.11707310199, 54829), (33983.51284691995, 55567), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (34705.65361345436, 55667), (34269.87146436159, 56710), (33410.304919183545, 57496), (32849.490384068966, 59512), (32605.007546951983, 61543), (35955.30904308984, 55752), (35901.74200022953, 56628), (34838.67222061781, 56911), (34526.12860213269, 58093), (34524.93980660704, 58161), (33837.11090294735, 58262), (33639.410635592634, 58955), (33299.97156468248, 60661), (33102.82325544023, 63716), (32762.710344073843, 65153), (35517.43531783722, 57290), (35174.10689538088, 58588), (34064.72422416006, 58637), (33956.84659764613, 58787), (33759.757133290026, 59516), (33757.44487439519, 61390), (33613.84792710094, 61930), (33218.415730051456, 63828), (33212.2019819754, 66845), (35620.913714495975, 57490), (35306.92711493739, 58674), (34033.405191782105, 58885), (33989.188123401516, 60572), (33759.0661311074, 61631), (33286.12957213136, 64794), (36880.63849868662, 57548), (33322.99146866795, 69818), (35970.6705717834, 58117), (34966.59506912171, 59089), (33380.88859044442, 66598), (34156.56619717352, 59120), (33874.94940201649, 64143), (33778.26714832479, 65595), (34877.667182093355, 52579)
(35081.37384579597, 50759), (34877.667182093355, 52579), (34765.736333812136, 53418), (32481.543378327635, 54241), (31962.879959026228, 61217), (35817.51901620179, 51424), (35338.36310411514, 54710), (34865.11707310199, 54829), (33983.51284691995, 55567), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (34705.65361345436, 55667), (34269.87146436159, 56710), (33410.304919183545, 57496), (32849.490384068966, 59512), (32605.007546951983, 61543), (35160.991034672035, 55708), (34838.67222061781, 56911), (34575.581550669944, 57305), (34526.12860213269, 58093), (34524.93980660704, 58161), (33837.11090294735, 58262), (33639.410635592634, 58955), (33299.97156468248, 60661), (33102.82325544023, 63716), (32762.710344073843, 65153), (35955.30904308984, 55752), (35901.74200022953, 56628), (35517.43531783722, 57290), (35174.10689538088, 58588), (34064.72422416006, 58637), (33956.84659764613, 58787), (33759.757133290026, 59516), (33757.44487439519, 61390), (33613.84792710094, 61930), (33218.415730051456, 63828), (33212.2019819754, 66845), (35620.913714495975, 57490), (35306.92711493739, 58674), (34033.405191782105, 58885), (33989.188123401516, 60572), (33759.0661311074, 61631), (33286.12957213136, 64794), (36880.63849868662, 57548), (33322.99146866795, 69818), (33832.978766619126, 63398), (33380.88859044442, 66598), (34697.29150821004, 61211)
(35081.37384579597, 50759), (34877.667182093355, 52579), (34765.736333812136, 53418), (32481.543378327635, 54241), (31962.879959026228, 61217), (35817.51901620179, 51424), (35338.36310411514, 54710), (34865.11707310199, 54829), (33983.51284691995, 55567), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (34705.65361345436, 55667), (34269.87146436159, 56710), (33410.304919183545, 57496), (32849.490384068966, 59512), (32605.007546951983, 61543), (35160.991034672035, 55708), (34832.49557983055, 56401), (34575.581550669944, 57305), (33539.826076994956, 57982), (33299.97156468248, 60661), (33245.34739351018, 62026), (33102.82325544023, 63716), (32762.710344073843, 65153), (35955.30904308984, 55752), (35901.74200022953, 56628), (34838.67222061781, 56911), (34526.12860213269, 58093), (34524.93980660704, 58161), (33837.11090294735, 58262), (33639.410635592634, 58955), (33613.84792710094, 61930), (33218.415730051456, 63828), (33212.2019819754, 66845), (35517.43531783722, 57290), (34954.20259140859, 57904), (34064.72422416006, 58637), (33956.84659764613, 58787), (33759.757133290026, 59516), (33757.44487439519, 61390), (33739.74173370675, 62669), (33286.12957213136, 64794), (35620.913714495975, 57490), (33322.99146866795, 69818), (33380.88859044442, 66598), (35057.545495123064, 58430), (33759.0661311074, 61631), (34832.092901915545, 62043)
(35081.37384579597, 50759), (34877.667182093355, 52579), (34765.736333812136, 53418), (32481.543378327635, 54241), (31962.879959026228, 61217), (35817.51901620179, 51424), (35257.23360309863, 53719), (34865.11707310199, 54829), (33983.51284691995, 55567), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (35338.36310411514, 54710), (34705.65361345436, 55667), (34269.87146436159, 56710), (33410.304919183545, 57496), (32849.490384068966, 59512), (32605.007546951983, 61543), (36263.99254298165, 55409), (35160.991034672035, 55708), (34832.49557983055, 56401), (34575.581550669944, 57305), (33539.826076994956, 57982), (33396.800586652374, 60420), (33299.97156468248, 60661), (33121.05691657386, 61873), (33102.82325544023, 63716), (32762.710344073843, 65153), (35955.30904308984, 55752), (35268.03649442843, 56245), (34838.67222061781, 56911), (34526.12860213269, 58093), (34524.93980660704, 58161), (33837.11090294735, 58262), (33794.008763902915, 58475), (33639.410635592634, 58955), (33533.86998151961, 60790), (33245.34739351018, 62026), (33218.415730051456, 63828), (33212.2019819754, 66845), (35901.74200022953, 56628), (33286.12957213136, 64794), (33613.84792710094, 61930), (34954.20259140859, 57904), (34064.72422416006, 58637), (35517.43531783722, 57290), (33759.757133290026, 59516), (33757.44487439519, 61390), (34968.08457918561, 59240)
(35081.37384579597, 50759), (34877.667182093355, 52579), (34765.736333812136, 53418), (33441.566434029846, 53620), (32481.543378327635, 54241), (31962.879959026228, 61217), (31809.14527547231, 65688), (35817.51901620179, 51424), (35257.23360309863, 53719), (34865.11707310199, 54829), (33983.51284691995, 55567), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (35338.36310411514, 54710), (34705.65361345436, 55667), (34269.87146436159, 56710), (33072.848757315565, 57438), (32849.490384068966, 59512), (32605.007546951983, 61543), (36263.99254298165, 55409), (35160.991034672035, 55708), (34832.49557983055, 56401), (34575.581550669944, 57305), (33410.304919183545, 57496), (33396.800586652374, 60420), (33299.97156468248, 60661), (33121.05691657386, 61873), (33102.82325544023, 63716), (32762.710344073843, 65153), (35955.30904308984, 55752), (35268.03649442843, 56245), (34838.67222061781, 56911), (33539.826076994956, 57982), (33432.32294648181, 58762), (33245.34739351018, 62026), (33218.415730051456, 63828), (33212.2019819754, 66845), (35901.74200022953, 56628), (35517.43531783722, 57290), (34954.20259140859, 57904), (34526.12860213269, 58093), (34524.93980660704, 58161), (33837.11090294735, 58262), (33794.008763902915, 58475), (33639.410635592634, 58955), (33533.86998151961, 60790), (33286.12957213136, 64794), (33819.76783346507, 57982)
(35081.37384579597, 50759), (34877.667182093355, 52579), (34765.736333812136, 53418), (33441.566434029846, 53620), (32481.543378327635, 54241), (31962.879959026228, 61217), (31809.14527547231, 65688), (35817.51901620179, 51424), (35257.23360309863, 53719), (33488.53398444226, 54624), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (36083.941129734725, 52716), (36046.88910415356, 53949), (35338.36310411514, 54710), (34865.11707310199, 54829), (33983.51284691995, 55567), (33408.856072543815, 57220), (33072.848757315565, 57438), (32849.490384068966, 59512), (32605.007546951983, 61543), (36263.99254298165, 55409), (34705.65361345436, 55667), (34269.87146436159, 56710), (33410.304919183545, 57496), (33396.800586652374, 60420), (33299.97156468248, 60661), (33121.05691657386, 61873), (33102.82325544023, 63716), (32762.710344073843, 65153), (35160.991034672035, 55708), (34832.49557983055, 56401), (34575.581550669944, 57305), (33539.826076994956, 57982), (33432.32294648181, 58762), (33245.34739351018, 62026), (33218.415730051456, 63828), (33212.2019819754, 66845), (35955.30904308984, 55752), (35268.03649442843, 56245), (34838.67222061781, 56911), (33819.76783346507, 57982), (33794.008763902915, 58475), (33639.410635592634, 58955), (33533.86998151961, 60790), (33286.12957213136, 64794), (35901.74200022953, 56628), (33738.34525894365, 65584), (33807.58374509187, 61140), (35676.012775772084, 62148)
(32793.2754858573, 50225), (32481.543378327635, 54241), (31962.879959026228, 61217), (31809.14527547231, 65688), (35081.37384579597, 50759), (34877.667182093355, 52579), (34765.736333812136, 53418), (33441.566434029846, 53620), (33136.173586563535, 56985), (32654.14131902341, 57223), (32575.59910448884, 58467), (35817.51901620179, 51424), (35257.23360309863, 53719), (33488.53398444226, 54624), (33408.856072543815, 57220), (33072.848757315565, 57438), (32849.490384068966, 59512), (32605.007546951983, 61543), (36083.941129734725, 52716), (36046.88910415356, 53949), (35338.36310411514, 54710), (34860.03122917877, 54716), (33983.51284691995, 55567), (33410.304919183545, 57496), (33396.800586652374, 60420), (33299.97156468248, 60661), (33121.05691657386, 61873), (33102.82325544023, 63716), (32762.710344073843, 65153), (34865.11707310199, 54829), (34705.65361345436, 55667), (34269.87146436159, 56710), (33539.826076994956, 57982), (33432.32294648181, 58762), (33245.34739351018, 62026), (33218.415730051456, 63828), (33212.2019819754, 66845), (36263.99254298165, 55409), (35160.991034672035, 55708), (35088.33215651134, 56311), (34832.49557983055, 56401), (34575.581550669944, 57305), (33819.76783346507, 57982), (33794.008763902915, 58475), (33639.410635592634, 58955), (33533.86998151961, 60790), (33286.12957213136, 64794), (35955.30904308984, 55752), (33394.03048014124, 67226), (33807.58374509187, 61140), (34084.76549686176, 68065)
