(9241213.590033472, 1065410), (9198076.012149906, 1075152), (9173050.962503685, 1087900), (9164676.085040841, 1094596), (9121894.308760062, 1103077), (9328049.388319759, 1079270), (9248431.293633427, 1080710), (9199007.851622762, 1084822), (9180446.326891365, 1105422), (9175461.682227448, 1115200), (9171061.918083055, 1122342), (9167240.516530465, 1140017), (9296545.02878023, 1083737), (9251527.913317963, 1084332), (9217587.540086946, 1086819), (9214378.007855957, 1106172), (9188859.597834893, 1110455), (9359771.666729992, 1086175), (9267455.028393947, 1088198), (9235684.59379998, 1088375), (9219127.908564184, 1090319), (9209664.521864116, 1113312), (9310957.209677735, 1088633), (9242694.18615323, 1089335), (9233118.508232823, 1110464), (9210716.137318937, 1114682), (9210076.739503672, 1152571), (9305049.651960764, 1092832), (9212102.734388465, 1121906), (9304322.517302277, 1101032), (9268278.56654748, 1140634)
(9241213.590033472, 1065410), (9183307.735429097, 1066534), (9155097.40158121, 1082009), (9121894.308760062, 1103077), (9198621.69178773, 1073658), (9198076.012149906, 1075152), (9197856.91226382, 1083428), (9173050.962503685, 1087900), (9162362.67419818, 1088824), (9254125.79239636, 1074786), (9248431.293633427, 1080710), (9199007.851622762, 1084822), (9164676.085040841, 1094596), (9328049.388319759, 1079270), (9296545.02878023, 1083737), (9266190.562985709, 1084106), (9251527.913317963, 1084332), (9217587.540086946, 1086819), (9165358.84823803, 1100043), (9359771.666729992, 1086175), (9277182.557981653, 1086697), (9267455.028393947, 1088198), (9235684.59379998, 1088375), (9222138.328689273, 1089358), (9219127.908564184, 1090319), (9180446.326891365, 1105422), (9171481.1466407, 1109904), (9171061.918083055, 1122342), (9169441.75094527, 1137349), (9167240.516530465, 1140017), (9182142.75532394, 1110457)
(9241213.590033472, 1065410), (9183307.735429097, 1066534), (9155097.40158121, 1082009), (9103721.65261745, 1091862), (9198621.69178773, 1073658), (9198076.012149906, 1075152), (9197856.91226382, 1083428), (9173050.962503685, 1087900), (9162362.67419818, 1088824), (9121894.308760062, 1103077), (9254125.79239636, 1074786), (9215849.737340113, 1078698), (9199007.851622762, 1084822), (9171649.469356596, 1090400), (9164676.085040841, 1094596), (9161415.114998592, 1108203), (9154139.674556226, 1137403), (9289813.160048993, 1075808), (9279686.07328154, 1080602), (9248431.293633427, 1080710), (9231209.769673212, 1081985), (9213135.581169194, 1086221), (9200518.036898967, 1098030), (9165358.84823803, 1100043), (9163284.032220002, 1131885), (9328049.388319759, 1079270), (9167240.516530465, 1140017), (9217587.540086946, 1086819), (9180446.326891365, 1105422), (9171061.918083055, 1122342), (9200518.036898967, 1098030)
(9241213.590033472, 1065410), (9183307.735429097, 1066534), (9155097.40158121, 1082009), (9103721.65261745, 1091862), (9185151.618670655, 1071115), (9173050.962503685, 1087900), (9162362.67419818, 1088824), (9121894.308760062, 1103077), (9219901.68607622, 1073598), (9198621.69178773, 1073658), (9198076.012149906, 1075152), (9197856.91226382, 1083428), (9171649.469356596, 1090400), (9164676.085040841, 1094596), (9161415.114998592, 1108203), (9154139.674556226, 1137403), (9254125.79239636, 1074786), (9215849.737340113, 1078698), (9199007.851622762, 1084822), (9188607.031336721, 1097188), (9165358.84823803, 1100043), (9163284.032220002, 1131885), (9289813.160048993, 1075808), (9167240.516530465, 1140017), (9180446.326891365, 1105422), (9171061.918083055, 1122342), (9248431.293633427, 1080710), (9279686.07328154, 1080602), (9213135.581169194, 1086221), (9231209.769673212, 1081985), (9281533.239733614, 1063324)
(9281533.239733614, 1063324), (9241213.590033472, 1065410), (9183307.735429097, 1066534), (9155097.40158121, 1082009), (9133185.872336736, 1086262), (9103721.65261745, 1091862), (9185151.618670655, 1071115), (9173050.962503685, 1087900), (9162362.67419818, 1088824), (9157610.125036472, 1100417), (9121894.308760062, 1103077), (9219901.68607622, 1073598), (9198621.69178773, 1073658), (9198076.012149906, 1075152), (9197856.91226382, 1083428), (9171649.469356596, 1090400), (9164676.085040841, 1094596), (9161415.114998592, 1108203), (9122204.081295464, 1123634), (9254125.79239636, 1074786), (9215849.737340113, 1078698), (9199007.851622762, 1084822), (9189327.712813385, 1095210), (9188607.031336721, 1097188), (9165358.84823803, 1100043), (9163284.032220002, 1131885), (9154139.674556226, 1137403), (9289813.160048993, 1075808), (9167240.516530465, 1140017), (9171061.918083055, 1122342), (9252215.421282804, 1102711)
(9281533.239733614, 1063324), (9241213.590033472, 1065410), (9183307.735429097, 1066534), (9155097.40158121, 1082009), (9133185.872336736, 1086262), (9103721.65261745, 1091862), (9103716.74723007, 1120836), (9185151.618670655, 1071115), (9173050.962503685, 1087900), (9162362.67419818, 1088824), (9121623.000013525, 1098719), (9117709.038939435, 1123782), (9219901.68607622, 1073598), (9198621.69178773, 1073658), (9198076.012149906, 1075152), (9197856.91226382, 1083428), (9197223.329864783, 1086483), (9180286.245652748, 1088908), (9171649.469356596, 1090400), (9164676.085040841, 1094596), (9157610.125036472, 1100417), (9121894.308760062, 1103077), (9254125.79239636, 1074786), (9215849.737340113, 1078698), (9199007.851622762, 1084822), (9184305.036501821, 1091875), (9165358.84823803, 1100043), (9161415.114998592, 1108203), (9140554.78207181, 1115913), (9122204.081295464, 1123634), (9267474.876829663, 1123237)
(9281533.239733614, 1063324), (9241213.590033472, 1065410), (9183307.735429097, 1066534), (9158640.6089001, 1075806), (9155097.40158121, 1082009), (9133185.872336736, 1086262), (9103721.65261745, 1091862), (9103716.74723007, 1120836), (9185151.618670655, 1071115), (9182496.647064159, 1077404), (9173050.962503685, 1087900), (9162362.67419818, 1088824), (9121623.000013525, 1098719), (9117709.038939435, 1123782), (9318294.073282333, 1072865), (9219901.68607622, 1073598), (9198621.69178773, 1073658), (9198076.012149906, 1075152), (9197856.91226382, 1083428), (9197223.329864783, 1086483), (9180286.245652748, 1088908), (9171649.469356596, 1090400), (9164676.085040841, 1094596), (9157610.125036472, 1100417), (9145659.549602672, 1100811), (9121894.308760062, 1103077), (9254125.79239636, 1074786), (9122204.081295464, 1123634), (9140554.78207181, 1115913), (9184305.036501821, 1091875), (9189294.376694206, 1084418)
(9281533.239733614, 1063324), (9241213.590033472, 1065410), (9183307.735429097, 1066534), (9158640.6089001, 1075806), (9155097.40158121, 1082009), (9133185.872336736, 1086262), (9121223.74522929, 1088085), (9103721.65261745, 1091862), (9103716.74723007, 1120836), (9185151.618670655, 1071115), (9182496.647064159, 1077404), (9155533.775457019, 1087636), (9121623.000013525, 1098719), (9117709.038939435, 1123782), (9318294.073282333, 1072865), (9219901.68607622, 1073598), (9198621.69178773, 1073658), (9198076.012149906, 1075152), (9197856.91226382, 1083428), (9189294.376694206, 1084418), (9173050.962503685, 1087900), (9162362.67419818, 1088824), (9156532.874838626, 1097581), (9145659.549602672, 1100811), (9121894.308760062, 1103077), (9254125.79239636, 1074786), (9122204.081295464, 1123634), (9140554.78207181, 1115913), (9197223.329864783, 1086483), (9157610.125036472, 1100417), (9223060.422625538, 1097964)
(9281533.239733614, 1063324), (9241213.590033472, 1065410), (9183307.735429097, 1066534), (9158640.6089001, 1075806), (9155097.40158121, 1082009), (9133185.872336736, 1086262), (9121223.74522929, 1088085), (9103721.65261745, 1091862), (9103716.74723007, 1120836), (9185151.618670655, 1071115), (9182496.647064159, 1077404), (9155533.775457019, 1087636), (9121623.000013525, 1098719), (9117709.038939435, 1123782), (9292820.322845059, 1072101), (9288253.812831206, 1073429), (9219901.68607622, 1073598), (9198621.69178773, 1073658), (9198076.012149906, 1075152), (9197856.91226382, 1083428), (9189294.376694206, 1084418), (9173050.962503685, 1087900), (9162362.67419818, 1088824), (9156532.874838626, 1097581), (9145659.549602672, 1100811), (9121894.308760062, 1103077), (9318294.073282333, 1072865), (9122204.081295464, 1123634), (9197223.329864783, 1086483), (9254125.79239636, 1074786), (9129993.707780357, 1085066)
(9210740.905790813, 1046346), (9183307.735429097, 1066534), (9158640.6089001, 1075806), (9155097.40158121, 1082009), (9129993.707780357, 1085066), (9121223.74522929, 1088085), (9103721.65261745, 1091862), (9103716.74723007, 1120836), (9347342.24449661, 1058549), (9281533.239733614, 1063324), (9241213.590033472, 1065410), (9185151.618670655, 1071115), (9182496.647064159, 1077404), (9133185.872336736, 1086262), (9118547.538910853, 1093517), (9117709.038939435, 1123782), (9292820.322845059, 1072101), (9288253.812831206, 1073429), (9219901.68607622, 1073598), (9198621.69178773, 1073658), (9198076.012149906, 1075152), (9197856.91226382, 1083428), (9189294.376694206, 1084418), (9155533.775457019, 1087636), (9121623.000013525, 1098719), (9318294.073282333, 1072865), (9121894.308760062, 1103077), (9254125.79239636, 1074786), (9203233.905847786, 1077893), (9197223.329864783, 1086483), (9269637.576118562, 1107447)
