2023-12-11 20:11:47,757 - INFO: Iteration 46 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:11:55,853 - INFO: Iteration 47 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:12:03,983 - INFO: Iteration 48 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:12:12,100 - INFO: Iteration 49 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:12:20,196 - INFO: Iteration 50 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:12:28,645 - INFO: Iteration 51 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:12:36,794 - INFO: Iteration 52 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:12:46,821 - INFO: Iteration 53 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:12:55,151 - INFO: Iteration 54 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:13:03,744 - INFO: Iteration 55 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:13:12,223 - INFO: Iteration 56 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:13:20,517 - INFO: Iteration 57 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:13:28,972 - INFO: Iteration 58 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:13:37,201 - INFO: Iteration 59 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:13:45,557 - INFO: Iteration 60 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:13:53,846 - INFO: Iteration 61 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:14:02,159 - INFO: Iteration 62 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:14:10,375 - INFO: Iteration 63 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:14:19,541 - INFO: Iteration 64 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:14:27,928 - INFO: Iteration 65 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:14:36,918 - INFO: Iteration 66 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:14:45,360 - INFO: Iteration 67 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:14:54,800 - INFO: Iteration 68 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:15:03,312 - INFO: Iteration 69 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:15:11,941 - INFO: Iteration 70 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:15:20,350 - INFO: Iteration 71 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:15:29,012 - INFO: Iteration 72 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:15:37,438 - INFO: Iteration 73 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:15:45,956 - INFO: Iteration 74 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:15:54,666 - INFO: Iteration 75 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:16:03,099 - INFO: Iteration 76 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:16:11,655 - INFO: Iteration 77 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:16:20,005 - INFO: Iteration 78 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:16:28,714 - INFO: Iteration 79 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:16:36,986 - INFO: Iteration 80 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:16:45,772 - INFO: Iteration 81 completed for instance ./instances/a280-n1395.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:22:00,273 - INFO: Initializing population for instance ./instances/a280-n2790.txt
2023-12-11 20:28:05,841 - INFO: Iteration 1 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:28:14,469 - INFO: Iteration 2 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:28:23,120 - INFO: Iteration 3 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:28:32,451 - INFO: Iteration 4 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:28:42,354 - INFO: Iteration 5 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:28:51,418 - INFO: Iteration 6 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:29:00,656 - INFO: Iteration 7 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:29:09,460 - INFO: Iteration 8 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:29:19,341 - INFO: Iteration 9 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:29:29,465 - INFO: Iteration 10 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:29:38,230 - INFO: Iteration 11 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:29:47,568 - INFO: Iteration 12 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:29:57,462 - INFO: Iteration 13 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:30:06,772 - INFO: Iteration 14 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:30:15,623 - INFO: Iteration 15 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:30:24,347 - INFO: Iteration 16 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:30:33,247 - INFO: Iteration 17 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:30:42,058 - INFO: Iteration 18 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:30:50,903 - INFO: Iteration 19 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:30:59,773 - INFO: Iteration 20 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:31:08,825 - INFO: Iteration 21 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:31:17,946 - INFO: Iteration 22 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:31:26,619 - INFO: Iteration 23 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:31:36,355 - INFO: Iteration 24 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:31:45,781 - INFO: Iteration 25 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:31:54,339 - INFO: Iteration 26 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:32:02,947 - INFO: Iteration 27 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
2023-12-11 20:32:11,512 - INFO: Iteration 28 completed for instance ./instances/a280-n2790.txt, NUM_POP=100, NUM_ELITE=30
